INN,month,sales
AMBROXOLUM,2020-05,139774.95
AMBROXOLUM,2020-06,103376.14
AMBROXOLUM,2020-07,130615.93000000001
AMBROXOLUM,2020-08,257812.67
AMBROXOLUM,2020-09,493026.8
AMBROXOLUM,2020-10,685151.45
AMBROXOLUM,2020-11,659166.86
AMBROXOLUM,2020-12,566380.39
AMBROXOLUM,2021-01,385751.82
AMBROXOLUM,2021-02,363420.19
AMBROXOLUM,2021-03,627275.76
AMBROXOLUM,2021-04,509390.85
AMBROXOLUM,2021-05,392590.14999999997
AMBROXOLUM,2021-06,334644.69
AMBROXOLUM,2021-07,242244.56
AMBROXOLUM,2021-08,300326.68
AMBROXOLUM,2021-09,631964.72
AMBROXOLUM,2021-10,947099.7
AMBROXOLUM,2021-11,683887.9
AMBROXOLUM,2021-12,574711.05
AMBROXOLUM,2022-01,681508.98
AMBROXOLUM,2022-02,715716.0599999999
AMBROXOLUM,2022-03,346888.66000000003
AMBROXOLUM,2022-04,133444.61
AMBROXOLUM,2022-05,101213.69
AMBROXOLUM,2022-06,78148.47
AMBROXOLUM,2022-07,93101.52
AMBROXOLUM,2022-08,118224.76
AMBROXOLUM,2022-09,279799.17
AMBROXOLUM,2022-10,341079.54
AMBROXOLUM,2022-11,324627.96
AMBROXOLUM,2022-12,460727.55
AMBROXOLUM,2023-01,405190.52
AMBROXOLUM,2023-02,351729.14
AMBROXOLUM,2023-03,358866.6
AMBROXOLUM,2023-04,291792.22
AMBROXOLUM,2023-05,263149.54
AMBROXOLUM,2023-06,187735.19
AMBROXOLUM,2023-07,137284.37
AMBROXOLUM,2023-08,140574.38
AMBROXOLUM,2023-09,265674.3
AMBROXOLUM,2023-10,396105.09
AMBROXOLUM,2023-11,405134.29
AMBROXOLUM,2023-12,478153.82
AMLODIPINUM,2019-01,470275.74
AMLODIPINUM,2019-02,549624.6
AMLODIPINUM,2019-03,503962.58999999997
AMLODIPINUM,2019-04,467673.85000000003
AMLODIPINUM,2019-05,530090.48
AMLODIPINUM,2019-06,449967.42
AMLODIPINUM,2019-07,479276.47000000003
AMLODIPINUM,2019-08,474552.03
AMLODIPINUM,2019-09,479977.64999999997
AMLODIPINUM,2019-10,540760.18
AMLODIPINUM,2019-11,572929.33
AMLODIPINUM,2019-12,592750.37
AMLODIPINUM,2020-01,568584.4299999999
AMLODIPINUM,2020-02,590744.11
AMLODIPINUM,2020-03,610765.07
AMLODIPINUM,2020-04,413661.49
AMLODIPINUM,2020-05,452333.72
AMLODIPINUM,2020-06,450755.45
AMLODIPINUM,2020-07,447492.6
AMLODIPINUM,2020-08,439988.22000000003
AMLODIPINUM,2020-09,469428.66000000003
AMLODIPINUM,2020-10,503616.32
AMLODIPINUM,2020-11,502214.19
AMLODIPINUM,2020-12,544395.04
AMLODIPINUM,2021-01,503519.72
AMLODIPINUM,2021-02,515051.35000000003
AMLODIPINUM,2021-03,557018.27
AMLODIPINUM,2021-04,499928.93
AMLODIPINUM,2021-05,490622.39
AMLODIPINUM,2021-06,472010.79000000004
AMLODIPINUM,2021-07,440012.3
AMLODIPINUM,2021-08,412117.45
AMLODIPINUM,2021-09,452762.6
AMLODIPINUM,2021-10,467724.52999999997
AMLODIPINUM,2021-11,469257.89
AMLODIPINUM,2021-12,497248.08
AMLODIPINUM,2022-01,474233.43
AMLODIPINUM,2022-02,571648.47
AMLODIPINUM,2022-03,608231.83
AMLODIPINUM,2022-04,380692.12
AMLODIPINUM,2022-05,388324.1
AMLODIPINUM,2022-06,333957.08
AMLODIPINUM,2022-07,336814.66
AMLODIPINUM,2022-08,327631.77
AMLODIPINUM,2022-09,354702.43
AMLODIPINUM,2022-10,399347.47000000003
AMLODIPINUM,2022-11,402556.58
AMLODIPINUM,2022-12,419971.41000000003
AMLODIPINUM,2023-01,384477.37
AMLODIPINUM,2023-02,389484.13
AMLODIPINUM,2023-03,490325.82
AMLODIPINUM,2023-04,403399.62
AMLODIPINUM,2023-05,380574.27
AMLODIPINUM,2023-06,362662.24
AMLODIPINUM,2023-07,337115.04
AMLODIPINUM,2023-08,352996.4
AMLODIPINUM,2023-09,361273.73
AMLODIPINUM,2023-10,389271.02999999997
AMLODIPINUM,2023-11,400057.99
AMLODIPINUM,2023-12,418785.28
ATORVASTATINUM,2019-01,135434.95
ATORVASTATINUM,2019-02,135894.3
ATORVASTATINUM,2019-03,150162.54
ATORVASTATINUM,2019-04,137358.89
ATORVASTATINUM,2019-05,139347.16
ATORVASTATINUM,2019-06,130160.47
ATORVASTATINUM,2019-07,133237.55
ATORVASTATINUM,2019-08,137035.63
ATORVASTATINUM,2019-09,133910.51
ATORVASTATINUM,2019-10,145249.72
ATORVASTATINUM,2019-11,158917.5
ATORVASTATINUM,2019-12,169999.06
ATORVASTATINUM,2020-01,164222.0
ATORVASTATINUM,2020-02,158031.89
ATORVASTATINUM,2020-03,163258.0
ATORVASTATINUM,2020-04,105779.32
ATORVASTATINUM,2020-05,113891.78
ATORVASTATINUM,2020-06,117092.8
ATORVASTATINUM,2020-07,122022.39
ATORVASTATINUM,2020-08,132048.87
ATORVASTATINUM,2020-09,132024.12
ATORVASTATINUM,2020-10,142674.57
ATORVASTATINUM,2020-11,148458.62
ATORVASTATINUM,2020-12,153606.07
ATORVASTATINUM,2021-01,149894.58000000002
ATORVASTATINUM,2021-02,150535.69
ATORVASTATINUM,2021-03,162203.6
ATORVASTATINUM,2021-04,152211.59
ATORVASTATINUM,2021-05,150843.24
ATORVASTATINUM,2021-06,147637.6
ATORVASTATINUM,2021-07,146719.54
ATORVASTATINUM,2021-08,144030.8
ATORVASTATINUM,2021-09,149168.33000000002
ATORVASTATINUM,2021-10,161177.51
ATORVASTATINUM,2021-11,157716.76
ATORVASTATINUM,2021-12,158258.83000000002
ATORVASTATINUM,2022-01,158796.4
ATORVASTATINUM,2022-02,177092.47
ATORVASTATINUM,2022-03,156100.9
ATORVASTATINUM,2022-04,97496.49
ATORVASTATINUM,2022-05,101133.44
ATORVASTATINUM,2022-06,97375.88
ATORVASTATINUM,2022-07,108073.83
ATORVASTATINUM,2022-08,111136.8
ATORVASTATINUM,2022-09,115072.47
ATORVASTATINUM,2022-10,130627.95
ATORVASTATINUM,2022-11,133974.31
ATORVASTATINUM,2022-12,137990.45
ATORVASTATINUM,2023-01,132852.85
ATORVASTATINUM,2023-02,132155.07
ATORVASTATINUM,2023-03,160638.74
ATORVASTATINUM,2023-04,131664.81
ATORVASTATINUM,2023-05,137001.62
ATORVASTATINUM,2023-06,132074.71
ATORVASTATINUM,2023-07,128982.87
ATORVASTATINUM,2023-08,136626.03
ATORVASTATINUM,2023-09,136607.01
ATORVASTATINUM,2023-10,141469.69
ATORVASTATINUM,2023-11,142123.19
ATORVASTATINUM,2023-12,146274.93
AZITHROMYCINUM,2019-01,734709.1799999999
AZITHROMYCINUM,2019-02,498766.8
AZITHROMYCINUM,2019-03,507655.82
AZITHROMYCINUM,2019-04,462127.20999999996
AZITHROMYCINUM,2019-05,407944.22
AZITHROMYCINUM,2019-06,326648.08
AZITHROMYCINUM,2019-07,310839.71
AZITHROMYCINUM,2019-08,326944.12
AZITHROMYCINUM,2019-09,463653.39999999997
AZITHROMYCINUM,2019-10,536355.29
AZITHROMYCINUM,2019-11,531050.78
AZITHROMYCINUM,2019-12,601158.63
AZITHROMYCINUM,2020-01,666904.63
AZITHROMYCINUM,2020-02,650229.15
AZITHROMYCINUM,2020-03,927598.55
AZITHROMYCINUM,2020-04,400138.91
AZITHROMYCINUM,2020-05,205949.41999999998
AZITHROMYCINUM,2020-06,207406.59
AZITHROMYCINUM,2020-07,278100.71
AZITHROMYCINUM,2020-08,549526.1
AZITHROMYCINUM,2020-09,992277.32
AZITHROMYCINUM,2020-10,1578512.11
AZITHROMYCINUM,2020-11,1191577.28
AZITHROMYCINUM,2020-12,742431.6699999999
AZITHROMYCINUM,2021-01,451909.22000000003
AZITHROMYCINUM,2021-02,391946.3
AZITHROMYCINUM,2021-03,749513.02
AZITHROMYCINUM,2021-04,579129.49
AZITHROMYCINUM,2021-05,407350.44
AZITHROMYCINUM,2021-06,343459.16
AZITHROMYCINUM,2021-07,298742.62
AZITHROMYCINUM,2021-08,375177.27
AZITHROMYCINUM,2021-09,649890.15
AZITHROMYCINUM,2021-10,1036815.12
AZITHROMYCINUM,2021-11,709460.91
AZITHROMYCINUM,2021-12,580423.9
AZITHROMYCINUM,2022-01,868516.67
AZITHROMYCINUM,2022-02,980801.75
AZITHROMYCINUM,2022-03,427308.29
AZITHROMYCINUM,2022-04,161155.28
AZITHROMYCINUM,2022-05,144785.68
AZITHROMYCINUM,2022-06,136695.91
AZITHROMYCINUM,2022-07,422135.05
AZITHROMYCINUM,2022-08,222983.81
AZITHROMYCINUM,2022-09,301102.16000000003
AZITHROMYCINUM,2022-10,316894.8
AZITHROMYCINUM,2022-11,294772.85
AZITHROMYCINUM,2022-12,437650.56
AZITHROMYCINUM,2023-01,387748.16
AZITHROMYCINUM,2023-02,325400.05
AZITHROMYCINUM,2023-03,395086.84
AZITHROMYCINUM,2023-04,310319.07
AZITHROMYCINUM,2023-05,283311.73
AZITHROMYCINUM,2023-06,244987.04
AZITHROMYCINUM,2023-07,210154.08
AZITHROMYCINUM,2023-08,221845.94999999998
AZITHROMYCINUM,2023-09,324133.65
AZITHROMYCINUM,2023-10,402720.58999999997
AZITHROMYCINUM,2023-11,388742.16
AZITHROMYCINUM,2023-12,482266.95
BISOPROLOLUM,2019-01,680832.64
BISOPROLOLUM,2019-02,734357.38
BISOPROLOLUM,2019-03,720055.85
BISOPROLOLUM,2019-04,688861.73
BISOPROLOLUM,2019-05,766702.63
BISOPROLOLUM,2019-06,698654.78
BISOPROLOLUM,2019-07,740243.51
BISOPROLOLUM,2019-08,754533.32
BISOPROLOLUM,2019-09,765411.45
BISOPROLOLUM,2019-10,850243.53
BISOPROLOLUM,2019-11,889909.8
BISOPROLOLUM,2019-12,955878.05
BISOPROLOLUM,2020-01,928096.04
BISOPROLOLUM,2020-02,943127.0
BISOPROLOLUM,2020-03,980399.34
BISOPROLOLUM,2020-04,645760.05
BISOPROLOLUM,2020-05,710187.81
BISOPROLOLUM,2020-06,740138.19
BISOPROLOLUM,2020-07,752476.9
BISOPROLOLUM,2020-08,772536.68
BISOPROLOLUM,2020-09,804970.2899999999
BISOPROLOLUM,2020-10,862503.43
BISOPROLOLUM,2020-11,846317.42
BISOPROLOLUM,2020-12,939730.24
BISOPROLOLUM,2021-01,900633.7
BISOPROLOLUM,2021-02,893325.51
BISOPROLOLUM,2021-03,972196.9199999999
BISOPROLOLUM,2021-04,888810.66
BISOPROLOLUM,2021-05,889474.88
BISOPROLOLUM,2021-06,878756.87
BISOPROLOLUM,2021-07,842290.37
BISOPROLOLUM,2021-08,816738.88
BISOPROLOLUM,2021-09,870843.77
BISOPROLOLUM,2021-10,914246.93
BISOPROLOLUM,2021-11,910019.0599999999
BISOPROLOLUM,2021-12,947614.32
BISOPROLOLUM,2022-01,932448.73
BISOPROLOLUM,2022-02,1142336.3
BISOPROLOLUM,2022-03,1071311.61
BISOPROLOLUM,2022-04,710019.16
BISOPROLOLUM,2022-05,731868.5800000001
BISOPROLOLUM,2022-06,664107.9299999999
BISOPROLOLUM,2022-07,692833.5
BISOPROLOLUM,2022-08,695025.58
BISOPROLOLUM,2022-09,723134.66
BISOPROLOLUM,2022-10,807762.1
BISOPROLOLUM,2022-11,824816.63
BISOPROLOLUM,2022-12,858632.03
BISOPROLOLUM,2023-01,806137.95
BISOPROLOLUM,2023-02,797452.9
BISOPROLOLUM,2023-03,1073767.82
BISOPROLOLUM,2023-04,839680.56
BISOPROLOLUM,2023-05,773834.84
BISOPROLOLUM,2023-06,791075.58
BISOPROLOLUM,2023-07,764028.99
BISOPROLOLUM,2023-08,821073.13
BISOPROLOLUM,2023-09,816397.8
BISOPROLOLUM,2023-10,848648.03
BISOPROLOLUM,2023-11,866863.9500000001
BISOPROLOLUM,2023-12,904030.58
CEFTRIAXONUM,2019-01,1830481.42
CEFTRIAXONUM,2019-02,1362164.4700000002
CEFTRIAXONUM,2019-03,1352177.6099999999
CEFTRIAXONUM,2019-04,1271873.59
CEFTRIAXONUM,2019-05,1209556.75
CEFTRIAXONUM,2019-06,1058044.98
CEFTRIAXONUM,2019-07,1051051.41
CEFTRIAXONUM,2019-08,1043933.3300000001
CEFTRIAXONUM,2019-09,1113081.93
CEFTRIAXONUM,2019-10,1253788.4
CEFTRIAXONUM,2019-11,1298294.35
CEFTRIAXONUM,2019-12,1368252.78
CEFTRIAXONUM,2020-01,1550457.97
CEFTRIAXONUM,2020-02,1598117.36
CEFTRIAXONUM,2020-03,1470411.78
CEFTRIAXONUM,2020-04,731371.29
CEFTRIAXONUM,2020-05,625244.46
CEFTRIAXONUM,2020-06,687332.48
CEFTRIAXONUM,2020-07,799363.75
CEFTRIAXONUM,2020-08,978654.4500000001
CEFTRIAXONUM,2020-09,1247059.97
CEFTRIAXONUM,2020-10,2172749.43
CEFTRIAXONUM,2020-11,2102012.56
CEFTRIAXONUM,2020-12,1676793.31
CEFTRIAXONUM,2021-01,1167077.62
CEFTRIAXONUM,2021-02,954778.41
CEFTRIAXONUM,2021-03,1602493.24
CEFTRIAXONUM,2021-04,1527646.28
CEFTRIAXONUM,2021-05,968391.12
CEFTRIAXONUM,2021-06,777617.35
CEFTRIAXONUM,2021-07,758636.16
CEFTRIAXONUM,2021-08,795605.41
CEFTRIAXONUM,2021-09,1069426.07
CEFTRIAXONUM,2021-10,2122252.84
CEFTRIAXONUM,2021-11,1684097.95
CEFTRIAXONUM,2021-12,1132180.6
CEFTRIAXONUM,2022-01,1236707.35
CEFTRIAXONUM,2022-02,1398893.39
CEFTRIAXONUM,2022-03,716547.69
CEFTRIAXONUM,2022-04,369137.48
CEFTRIAXONUM,2022-05,316924.88
CEFTRIAXONUM,2022-06,281092.86
CEFTRIAXONUM,2022-07,422351.55
CEFTRIAXONUM,2022-08,301059.86
CEFTRIAXONUM,2022-09,336586.83
CEFTRIAXONUM,2022-10,360896.44
CEFTRIAXONUM,2022-11,357015.7
CEFTRIAXONUM,2022-12,451872.61
CEFTRIAXONUM,2023-01,446264.56
CEFTRIAXONUM,2023-02,406560.19
CEFTRIAXONUM,2023-03,447912.18
CEFTRIAXONUM,2023-04,372970.43
CEFTRIAXONUM,2023-05,374904.64
CEFTRIAXONUM,2023-06,361511.26999999996
CEFTRIAXONUM,2023-07,343788.98
CEFTRIAXONUM,2023-08,349208.52999999997
CEFTRIAXONUM,2023-09,349858.46
CEFTRIAXONUM,2023-10,400404.85
CEFTRIAXONUM,2023-11,390320.44
CEFTRIAXONUM,2023-12,446453.17
CITICOLINUM,2019-01,87641.84
CITICOLINUM,2019-02,95111.52
CITICOLINUM,2019-03,104896.57
CITICOLINUM,2019-04,93638.95
CITICOLINUM,2019-05,89135.17
CITICOLINUM,2019-06,80003.31
CITICOLINUM,2019-07,83997.64
CITICOLINUM,2019-08,88788.1
CITICOLINUM,2019-09,95839.23
CITICOLINUM,2019-10,109279.63
CITICOLINUM,2019-11,126404.03
CITICOLINUM,2019-12,126036.69
CITICOLINUM,2020-01,118230.09999999999
CITICOLINUM,2020-02,121817.44
CITICOLINUM,2020-03,99340.73
CITICOLINUM,2020-04,60227.68
CITICOLINUM,2020-05,74511.36
CITICOLINUM,2020-06,82621.77
CITICOLINUM,2020-07,88057.58
CITICOLINUM,2020-08,94050.73
CITICOLINUM,2020-09,96958.7
CITICOLINUM,2020-10,105019.02
CITICOLINUM,2020-11,105024.64
CITICOLINUM,2020-12,107114.9
CITICOLINUM,2021-01,100658.91
CITICOLINUM,2021-02,106752.87
CITICOLINUM,2021-03,124004.56999999999
CITICOLINUM,2021-04,111462.87
CITICOLINUM,2021-05,110558.36
CITICOLINUM,2021-06,113442.83
CITICOLINUM,2021-07,112399.9
CITICOLINUM,2021-08,109724.84
CITICOLINUM,2021-09,118281.71
CITICOLINUM,2021-10,123202.5
CITICOLINUM,2021-11,127100.94
CITICOLINUM,2021-12,124842.54
CITICOLINUM,2022-01,117466.48
CITICOLINUM,2022-02,121449.05
CITICOLINUM,2022-03,73014.52
CITICOLINUM,2022-04,69208.61
CITICOLINUM,2022-05,82189.56
CITICOLINUM,2022-06,77916.16
CITICOLINUM,2022-07,79538.17
CITICOLINUM,2022-08,84630.44
CITICOLINUM,2022-09,90533.43
CITICOLINUM,2022-10,93542.15000000001
CITICOLINUM,2022-11,100519.46
CITICOLINUM,2022-12,100440.17
CITICOLINUM,2023-01,97336.87
CITICOLINUM,2023-02,101187.11
CITICOLINUM,2023-03,121647.89
CITICOLINUM,2023-04,102861.3
CITICOLINUM,2023-05,114000.31
CITICOLINUM,2023-06,103975.12
CITICOLINUM,2023-07,98579.38
CITICOLINUM,2023-08,103249.29
CITICOLINUM,2023-09,106366.48
CITICOLINUM,2023-10,114749.82
CITICOLINUM,2023-11,113917.44
CITICOLINUM,2023-12,108059.48
DICLOFENACUM,2019-01,1275572.57
DICLOFENACUM,2019-02,1226751.36
DICLOFENACUM,2019-03,1401868.51
DICLOFENACUM,2019-04,1398288.04
DICLOFENACUM,2019-05,1421873.31
DICLOFENACUM,2019-06,1358965.96
DICLOFENACUM,2019-07,1417342.61
DICLOFENACUM,2019-08,1441850.45
DICLOFENACUM,2019-09,1428987.68
DICLOFENACUM,2019-10,1481711.91
DICLOFENACUM,2019-11,1446927.23
DICLOFENACUM,2019-12,1465880.97
DICLOFENACUM,2020-01,1481447.92
DICLOFENACUM,2020-02,1393033.48
DICLOFENACUM,2020-03,1359260.81
DICLOFENACUM,2020-04,1083796.56
DICLOFENACUM,2020-05,1167395.67
DICLOFENACUM,2020-06,1249453.5
DICLOFENACUM,2020-07,1222816.67
DICLOFENACUM,2020-08,1230965.54
DICLOFENACUM,2020-09,1256201.57
DICLOFENACUM,2020-10,1278157.1
DICLOFENACUM,2020-11,1215661.66
DICLOFENACUM,2020-12,1193706.99
DICLOFENACUM,2021-01,1173603.97
DICLOFENACUM,2021-02,1107649.49
DICLOFENACUM,2021-03,1198839.39
DICLOFENACUM,2021-04,1245431.76
DICLOFENACUM,2021-05,1281754.76
DICLOFENACUM,2021-06,1293842.45
DICLOFENACUM,2021-07,1186988.69
DICLOFENACUM,2021-08,1192708.68
DICLOFENACUM,2021-09,1186867.1
DICLOFENACUM,2021-10,1216560.99
DICLOFENACUM,2021-11,1109523.22
DICLOFENACUM,2021-12,1097759.78
DICLOFENACUM,2022-01,1140065.98
DICLOFENACUM,2022-02,1219683.9
DICLOFENACUM,2022-03,1144907.9
DICLOFENACUM,2022-04,965604.09
DICLOFENACUM,2022-05,1013625.17
DICLOFENACUM,2022-06,917788.2
DICLOFENACUM,2022-07,984903.72
DICLOFENACUM,2022-08,985796.83
DICLOFENACUM,2022-09,985685.89
DICLOFENACUM,2022-10,1020598.97
DICLOFENACUM,2022-11,895991.5
DICLOFENACUM,2022-12,924975.7
DICLOFENACUM,2023-01,911889.96
DICLOFENACUM,2023-02,875372.64
DICLOFENACUM,2023-03,1133342.14
DICLOFENACUM,2023-04,1005085.96
DICLOFENACUM,2023-05,999957.08
DICLOFENACUM,2023-06,985620.75
DICLOFENACUM,2023-07,969364.99
DICLOFENACUM,2023-08,1001434.73
DICLOFENACUM,2023-09,1015328.4
DICLOFENACUM,2023-10,998967.96
DICLOFENACUM,2023-11,925575.15
DICLOFENACUM,2023-12,945639.45
FLUCONAZOLUM,2019-01,525976.51
FLUCONAZOLUM,2019-02,477635.06
FLUCONAZOLUM,2019-03,493910.49
FLUCONAZOLUM,2019-04,460497.26
FLUCONAZOLUM,2019-05,480184.69
FLUCONAZOLUM,2019-06,483682.44
FLUCONAZOLUM,2019-07,524601.09
FLUCONAZOLUM,2019-08,537163.1799999999
FLUCONAZOLUM,2019-09,516668.07
FLUCONAZOLUM,2019-10,541401.78
FLUCONAZOLUM,2019-11,532614.54
FLUCONAZOLUM,2019-12,547053.91
FLUCONAZOLUM,2020-01,602897.37
FLUCONAZOLUM,2020-02,564376.25
FLUCONAZOLUM,2020-03,511684.53
FLUCONAZOLUM,2020-04,350199.92
FLUCONAZOLUM,2020-05,355697.88
FLUCONAZOLUM,2020-06,379150.36
FLUCONAZOLUM,2020-07,456224.9
FLUCONAZOLUM,2020-08,488200.8
FLUCONAZOLUM,2020-09,514190.81
