ATC4,sales_2019,sales_2020,sales_2021,sales_2022,sales_2023,contribution_2023,YoY,known_inn_count,eligible_competitive
A12C B Zinc,32986.16,62506.06999999999,62425.77,28766.45,24498.56,2.8863388119029447e-05,-0.1483634581256985,1,False
A12C C Magnesium,4056788.62,3723243.09,3694860.75,2956147.6100000003,3068205.5,0.0036148576151186,0.0379067302393603,5,True
A12C D Fluoride,3418.74,2967.75,3044.7,380.9,11.65,1.372564230659651e-08,-0.9694145444998687,1,False
A12C E Selenium,134576.11000000002,118116.95,113414.07,67992.48999999999,76678.84000000001,9.034045753860472e-05,0.127754550539332,1,False
A12C X Other mineral products,666986.2000000001,672520.56,703690.93,493062.38000000006,448233.2500000001,0.0005280934986629,-0.0909197939619728,1,False
A13A TONICS,1372140.32,1270186.03,1126815.05,925150.46,844640.53,0.0009951273641574,-0.0870236069492956,5,True
A14A B Estren derivatives,3882.74,3219.92,3332.7200000000003,443.6000000000001,8.42,9.920163795840568e-09,-0.9810189359783588,1,False
A14B OTHER ANABOLIC AGENTS,647467.41,602630.51,575822.4,417348.09,494545.18,0.0005826566734018,0.184970512264714,2,False
A15 APPETITE STIMULANTS,570456.6599999999,544778.52,520675.27,378859.34,426904.79,0.000502965016868,0.1268160631858776,5,True
A16A A Amino acids and derivates,715119.1,699125.84,1049472.17,707970.44,893719.11,0.0010529501138566,0.2623678327586671,4,True
A16A X Various alimentary tract and metabolism products,8615623.62,7223082.12,6532940.4,4174316.66,4368090.35,0.0051463386872957,0.0464204577139097,19,True
B01A A Vitamin K antagonists,453222.41,425625.41,449980.36,399627.69,341548.69,0.0004024013003627,-0.1453327721109616,3,True
B01A B Heparin group,601810.28,823374.8400000001,1222290.88,389016.95,285856.26,0.0003367863326919,-0.2651830209454884,7,True
B01A C Platelet aggregation inhibitors excl. heparin,11273158.99,13778747.37,18335643.01,14691535.77,13873754.31,0.0163455956316447,-0.0556634427334618,11,True
B01A D Enzymes,235107.03000000003,180107.36000000002,204755.62,112354.15,115863.58,0.000136506614201,0.0312354283308626,4,True
B01A E Direct thrombin inhibitors,89718.83,101724.8,138072.2,138693.26,122200.22000000002,0.0001439722325757,-0.1189173864685276,1,False
B01A F Direct factor Xa inhibitors,384313.44,610351.1299999999,1334411.38,1065294.88,1352323.24,0.0015932622382092,0.2694355951471388,3,True
B01A X Other antithrombotic agents,7240.5,13166.820000000002,17418.03,3787.02,1981.35,2.3343606338347635e-06,-0.4768049812253433,1,False
B02A A Amino acids,930795.36,773147.78,717340.7799999999,484365.61,448922.04,0.0005289050081191,-0.0731752404965332,2,False
B02A B Proteinase inhibitors,72569.79,52441.26,51701.380000000005,37977.41,37392.46,4.405455201061956e-05,-0.0154025774796121,2,False
B02B A Vitamin K,115572.02,96098.65,93928.05000000002,69245.30000000002,56835.12,6.696124700193044e-05,-0.1792205391557262,2,False
B02B B Fibrinogen,0.0,0.0,0.0,0.0,0.19,2.2385167710329075e-10,,0,False
B02B C Local hemostatics,16528.93,13845.94,15473.08,1644.28,11.31,1.3325065621253782e-08,-0.9931216094582432,0,False
B02B D Blood coagulation factors,64.51,46.95,82.78999999999999,41.01,58.62,6.906413321997318e-08,0.429407461594733,6,True
B02B X Other systemic hemostatics,870771.9099999999,795654.08,745876.73,540483.02,520959.13,0.0006137767102777,-0.0361230404611045,5,True
"B03A A Iron bivalent, oral preparations",147104.41,162277.93,205568.66000000003,166047.03000000003,208557.84,0.0002457159066159,0.2560166839479147,2,False
"B03A B Iron trivalent, oral preparations",208227.12,147431.36000000002,187388.66,191089.15,282221.29,0.0003325037320039,0.476909023877075,3,True
"B03A C Iron, parenteral preparations",155371.73,131192.97,168069.42,119313.82,140104.21,0.0001650661177775,0.174249638474403,4,True
B03A D Iron in combination with folic acid,176772.43000000002,193079.12,235344.54,178125.59000000003,180285.71,0.0002124066239013,0.012126949305824,2,False
B03A E Iron in other combinations,491399.84,488660.64,515263.62000000005,424029.04,611026.14,0.0007198906641734,0.441000691839408,4,True
B03B A Vitamin B12 (cyanocobalamin and analogues),822086.97,745387.7699999999,765509.23,551131.5,622737.7199999999,0.0007336888579867,0.1299258343970537,2,False
B03B B Folic acid and derivates,680272.62,604540.64,651759.0499999999,497128.68000000005,576503.77,0.0006792175566887,0.1596670906212853,1,False
B03X A Other antianemic preparations,14838.91,16512.940000000002,19298.85,14119.43,18949.97,2.2326224029247616e-05,0.3421200430895581,4,True
B05A A Plasma substitutes and plasma protein fractions,275468.89,295759.75,242405.68,120761.75,128893.17,0.000151857643535,0.06733440017224,10,True
B05B A Solutions for parenteral nutritions,2985423.99,2321841.3000000003,1928150.21,1172255.52,1036011.59,0.001220594378526,-0.1162237478736718,1,False
B05B B Solutions affecting the electrolyte balance,6586395.08,6110100.18,6612062.69,3355340.66,3075571.35,0.0036235358144649,-0.0833802997517395,14,True
B05B C Solutions producing osmotic diuresis,249213.54,225740.41,208033.94,146577.47,141704.84000000003,0.0001669519267771,-0.033242694119362,1,False
B05D A Isotonic solutions,0.0,1.32,0.0,0.0,0.0,0.0,,1,False
B05X A Electrolyte solutions,34356041.44,27346494.27,26372164.3,15420904.39,15962360.61,0.018806322068821,0.0351118330226545,7,True
B05X B Amino acids,4912460.970000001,3939964.57,5583974.26,3432834.14,3987565.51,0.004698016984067,0.1615957390822266,2,False
B05X C Vitamins,0.0,0.0,0.0,0.78,70.21,8.27190855232739e-08,89.0128205128205,0,False
B05Z B Hemofiltrates,0.0,2.5700000000000003,13.43,9.04,176.11,2.0748694134031866e-07,18.48119469026549,0,False
B06A A Enzymes,63370.810000000005,93944.97,187617.19,136635.13999999998,149795.67,0.0001764842734332,0.0963187800737059,3,True
C01A A Digitalis glycosides,804620.25,697624.5,618714.8899999999,482397.3500000001,468210.34,0.0005516298412952,-0.0294093862663219,2,False
C01A C Strophantus glycosides,22969.120000000003,15322.190000000002,11033.33,6298.17,5627.27,6.629862247437026e-06,-0.1065230058890123,1,False
C01A X Other cardiac glycosides,127196.41,96179.59,84764.09,52355.24999999999,46671.59,5.498691418198512e-05,-0.1085595045387042,1,False
"C01B A Antiarrhythmics, class Ia",1818.99,1415.09,51.99,0.0,0.0,0.0,,1,False
"C01B B Antiarrhythmics, class Ib",271104.13000000006,227460.44,232633.82,182064.49,221519.26,0.0002609866203246,0.2167076622135375,2,False
"C01B C Antiarrhythmics, class 1c",247596.82,279579.19,322858.64,330558.22000000003,328150.78,0.0003866163286618,-0.0072829530604321,3,True
"C01B D Antiarrhythmics, class III",1649620.4,1695814.11,1663548.66,1374112.95,1314967.72,0.0015492512076773,-0.043042480605397,2,False
C01C A Adrenergic and dopaminergic agents,155518.03,121061.63,133810.06000000003,90369.51,66887.2,7.880427314075383e-05,-0.2598477074845265,5,True
C01C X Other cardiac stimulants,5.509999999999999,0.29,3.53,7.179999999999999,34.81999999999999,4.102376524598201e-08,3.8495821727019495,1,False
C01D A Organic nitrates,2209688.49,2023149.84,1864298.47,1431713.71,1201308.41,0.0014153415910357,-0.160929729449891,3,True
C01D X Other vasodilators used in cardiac diseased,795512.3099999998,797815.2,868283.5399999999,776693.1000000001,822497.7099999998,0.0009690394305111,0.0589738855668986,2,False
C01E A Prostaglandins,5622.7,4335.21,3543.41,4204.799999999999,7452.47,8.780252147694533e-06,0.7723720509893459,1,False
C01E B Other cardiac preparations,27702245.36,23780530.89,21204812.53,15166467.81,11316263.01,0.0133324444912128,-0.2538629856492604,16,True
C01E X Other cardiac combination products,20776667.99,18369791.69,17649589.77,15404551.42,12940044.72,0.0152455300650714,-0.1599856193670326,13,True
C02A A Rauwolfia alkaloids,792424.21,660677.1100000001,576940.02,464156.35,388966.31000000006,0.000458267162264,-0.1619929146719633,1,False
C02A B Methyldopa,58653.92,65389.23,69686.60999999999,56766.52,60069.02,7.07713203629006e-05,0.0581768972274503,1,False
C02A C Imidazoline receptor agonists,602790.92,707711.3400000001,778019.1,702862.23,820697.76,0.0009669187893206,0.1676509634043075,3,True
C02B C Bisquaternary ammonium compounds,2423.91,4440.37,5102.94,3210.7200000000003,2989.17,3.521740619193914e-06,-0.0690032142323218,1,False
C02C A Alpha-adrenoceptor blocking agents,208024.03,202879.85,223641.1,208293.76,223500.58,0.0002633209456134,0.0730066037503958,2,False
C02L A Rauwolfia alkaloids and diuretics in combination,189276.61,172504.52000000002,155999.97999999998,124053.25,97143.2,0.0001144508854693,-0.2169233776624152,2,False
C02N COMBINATIONS OF ANTIHYPERTENZIVES IN ATC-GR. C02,21465.26,23077.620000000003,25000.73,21742.24,19247.26,2.267648121391097e-05,-0.1147526657786868,0,False
"C03A A Thiazides, plain",1124512.93,1136973.74,1002965.29,700168.36,698921.8300000001,0.0008234464411031,-0.0017803289483117,1,False
"C03B A Sulfonamides, plain",1482218.9,1448005.89,1458985.32,1265975.94,1254472.43,0.001477977670186,-0.0090866734797503,3,True
C03B X Other low-ceiling diuretics,617253.41,537604.14,464774.45,307973.91000000003,330710.57,0.0003896321880541,0.0738265783617839,5,True
"C03C A Sulfonamides, plain",3236940.7499999995,3067158.92,3106747.58,2477991.34,2705757.19,0.0031878330779778,0.0919155149266988,2,False
C03C C Aryloxyacetic acid derivatives,33.870000000000005,0.0,0.0,0.0,0.0,0.0,,1,False
C03D A Aldosterone antagonists,3309345.44,3414662.89,3573817.08,3056309.85,3573315.29,0.0042099611604491,0.1691600215207238,3,True
C03E A Low-ceiling diuretics and potassium-sparing agents,6036.26,273.46000000000004,0.0,0.0,0.0,0.0,,1,False
C04A A 2-amino-1-phenylethanol derivatives,61165.89,52149.11,59361.72,48059.8,56124.29,6.612377075121816e-05,0.1678011560597421,1,False
C04A C Nicotinic acid and derivatives,647238.3600000001,582171.69,569542.73,504910.8800000001,581728.88,0.0006853736074074,0.1521417007294432,1,False
C04A D Purine derivatives,1294662.4300000002,1044390.47,1130286.12,837004.4500000001,882473.4,0.0010397007925739,0.0543234268348273,2,False
C04A E Ergot alkaloids,357300.61,340489.22,390480.69,324258.3,353786.17,0.0004168190920549,0.091062803943646,1,False
C04A X Other peripheral vasodilators,1139990.04,1133653.65,1029913.25,809157.48,651202.72,0.0007672253737169,-0.1952089227427027,5,True
C05A A Corticosteroids,131771.96,140823.74000000002,173797.53000000003,150135.56,149721.51,0.0001763969005891,-0.0027578409805111,1,False
C05A D Local anesthetics,711267.53,653128.5800000001,734004.2799999999,566063.56,591022.4,0.0006963229233979,0.0440919390748275,3,True
C05A X Other agents for treatment of hemorrhoids and anal fissures for topical use,2602334.7,2459890.93,2651913.05,2178116.34,2181745.51,0.002570459954874,0.001666196581584,13,True
C05B A Heparins or heparinoids for topical use,1934167.82,1653411.65,1861400.52,1301336.63,1195494.18,0.001408491458738,-0.0813336438550877,5,True
C05B B Sclerosing agents for local injections,2199.69,1666.89,3339.3,2571.36,4001.980000000001,4.71499965649383e-06,0.5563670586771203,1,False
C05C A Bioflavonoids,5962178.57,5684876.44,6478014.89,5186777.34,5886183.95,0.006934906047084,0.1348441554655208,10,True
C05C X Other capillary stabilizing agents,2228646.25,1973733.6,2727312.68,1525038.79,1268976.85,0.001495066295146,-0.1679051980048324,7,True
"C07A A Beta blocking agents, non-selective",1548586.58,1468105.12,1464291.33,1297571.08,1182742.2000000002,0.0013934675002675,-0.0884952522215584,2,False
"C07A B Beta blocking agents, selective",12538224.61,13219177.22,14225423.47,12970949.87,13224200.83,0.0155803133376117,0.0195244729598202,6,True
C07A G Alpha and beta blocking agents,2634001.03,2773362.85,2940481.16,2578307.08,2660725.94,0.0031347787577959,0.0319662698983087,1,False
"C07B B Beta blocking agents, selective, and thiazides",31932.25,57672.02,87188.38,102964.09,120988.06,0.0001425441060024,0.1750510299270358,2,False
"C07C B Beta blocking agents, selective, and other diuretics",776769.53,699623.0900000001,643087.65,520186.34,507851.44,0.0005983336661227,-0.0237124642680928,1,False
C07F B Beta blocking agents and calcium channel blockers,122325.74,143807.08999999997,163428.9,155078.78999999998,154546.03,0.0001820809895008,-0.0034354149913085,1,False
"C07F X Beta blocking agents, other combinations",1147482.98,1132910.19,1187797.19,1005653.44,980105.84,0.0011547280843301,-0.0254039801226154,3,True
C08C A Dihydropyridine derivatives,9252669.92,8774550.69,8553263.65,7438871.05,7170046.41,0.0084475100725627,-0.0361378276613626,7,True
C08D A Phenylalkylamine derivatives,264809.63,244803.28,207422.54,173221.71,174665.78000000003,0.0002057854093976,0.0083365416494274,1,False
C08D B Benzothiazepine derivatives,154828.46,146044.89,133596.29,90307.52,1838.43,2.1659770459842253e-06,-0.979642559113571,1,False
C08G A Calcium channel blockers and diuretics,236837.26,257441.11,277632.13,271071.45,295553.26,0.0003482110153912,0.0903149704625847,2,False
"C09A A ACE inhibitors, plain",22146733.35,20696136.48,19180262.62,16261439.17,15386393.61,0.0181277369166834,-0.0538110772885547,9,True
"C09B A ACE inhibitors, and diuretics",12713917.32,12159387.92,12788950.76,11590622.65,11361873.320000002,0.0133861810406164,-0.0197357240337729,9,True
C09B B ACE inhibitors and calcium channel blockers,1664790.97,1559501.02,1659723.63,1550299.16,1529683.78,0.0018022225241615,-0.0132976786235244,6,True
"C09B X ACE inhibitors, other combinations",2477976.8,3256285.39,4236359.75,4549449.08,5433676.0600000005,0.0064017763098263,0.194359133260153,2,False
"C09C A Angiotensin II receptor blockers (ARBs), plain",4385076.59,4904998.04,4897366.29,4128596.4,4264175.34,0.0050239094806394,0.0328389909946149,7,True
C09D A Angiotensin II receptor blockers (ARBs) and diuretics,2582904.34,2644517.6,2878127.62,2653138.19,2767314.3200000003,0.0032603576400208,0.0430343698003912,7,True
C09D B Angiotensin II receptor blockers (ARBs) and calcium channel blockers,1102729.11,1225099.38,1458248.02,1388820.6800000002,1486692.53,0.0017515716640917,0.07047119286847,4,True
"C09D X Angiotensin II receptor blockers (ARBs), other combinations",125414.13,559839.88,917077.64,1060601.42,1344300.61,0.0015838102425235,0.2674889780932032,2,False
C10A A HMG CoA reductase inhibitors,5540763.46,5871118.86,6878375.85,6184558.86,7188479.55,0.0084692273846853,0.1623269682972989,4,True
C10A B Fibrates,25712.39,31303.9,44506.59,36337.24999999999,47895.33,5.642868392587134e-05,0.3180780053526344,1,False
C10A C Bile acid sequestrants,1502.6,1491.1800000000003,1543.91,1344.4500000000005,2402.56,2.8306162386383277e-06,0.7870207147904345,1,False
C10A X Other ilipid modifying agents,378303.29,397171.14,360993.1,238659.7,276242.73,0.0003254599915689,0.1574753927873033,3,True
C10B A HMG CoCombinations of various lipid modifying agents,1872.01,21434.9,54046.32,65969.25,67274.98000000001,7.926114263205445e-05,0.0197930096219074,1,False
C10B X Lipid modifying agents in combination with other drugs,80357.94,102185.77,144299.0,189243.59,257965.53,0.0003039264027649,0.3631401200960096,6,True
D01A A Antibiotics,155667.28999999998,140845.29000000004,143846.78,120530.81,120865.29,0.000142399462474,0.0027750580951044,2,False
D01A C Imidazole and triazole derivatives,2725689.59,2490121.21,2480569.94,2220558.8,2405397.58,0.0028339593809641,0.0832397592894187,14,True
D01A E Other antifungals for topical use,5791555.5200000005,5418846.56,4799131.63,3596177.94,3618248.29,0.0042628997257506,0.0061371685072959,9,True
D01B A Antifungals for systemic use,244603.25,233159.33,253561.45,256264.15,329086.89,0.0003877192223116,0.2841706106765227,2,False
D02A B Zinc products,1083037.88,1030337.38,1154100.96,954928.33,1014021.83,0.0011946867750781,0.0618826545862347,2,False
D02A C Soft paraffin and fat products,993829.25,933841.96,863814.64,688311.32,732562.62,0.0008630809003693,0.0642896589293344,1,False
D02A E Carbamide products,152845.51,137206.65,158719.83,139691.75,167125.15999999997,0.0001969013018534,0.1963853269788658,1,False
D02A F Salicylic acid preparations,615287.62,571893.8500000001,561579.6900000001,494482.03,533188.26,0.0006281846642778,0.0782763126902712,5,True
D02A X Other emollientsand protectives,2373623.72,2733532.18,1796801.91,1295943.73,1166307.07,0.0013741041770364,-0.1000326302747727,3,True
D03A X Other cicatrizants,10658674.91,10187327.74,9553937.57,7400679.88,7192421.18,0.0084738712819801,-0.028140482141757,20,True
D03B A Proteolytic enzymes,10896.080000000002,8245.91,9888.53,6484.42,6831.7300000000005,8.048916936930867e-06,0.0535606885426915,2,False
